movement_id,date_id,vessel_key,vessel_id,vessel_category,terminal_id,container_count,move_duration,route_geometry
847,7/11/2024,Container_796,796,Container,369,220,341.6610128,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
632,7/17/2024,Container_457,457,Container,529,911,290.5926145,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
399,7/12/2024,Container_997,997,Container,272,606,887.8717258,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
256,11/18/2022,Passenger_234,234,Passenger,737,229,768.7055557,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
35,12/14/2021,Tanker_21,21,Tanker,131,779,885.0168759,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
85,3/2/2024,Tanker_443,443,Tanker,371,881,720.0426155,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
162,2/27/2024,Container_857,857,Container,705,272,330.3480902,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
787,4/30/2024,Container_442,442,Container,154,105,185.8451196,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
639,1/19/2024,Cargo_431,431,Cargo,708,284,529.7794804,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
433,4/30/2022,Passenger_859_2,859,Passenger,737,757,356.6683542,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
783,9/30/2021,Container_890,890,Container,45,61,643.4129979,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
160,7/26/2022,Container_343,343,Container,99,289,38.93259211,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
211,4/7/2021,Cargo_841,841,Cargo,627,320,712.9820288,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
393,12/22/2024,Cargo_441,441,Cargo,599,16,299.559177,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
918,10/13/2022,Container_262,262,Container,110,598,462.2405047,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
614,12/24/2024,Passenger_58,58,Passenger,369,806,978.6139558,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
851,9/30/2021,Tanker_808,808,Tanker,371,155,215.5754446,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
248,12/31/2021,Container_70,70,Container,198,887,117.6555827,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
849,4/11/2022,Container_113,113,Container,803,954,209.8138608,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
72,1/25/2021,Cargo_769,769,Cargo,113,871,351.5035257,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
227,1/15/2022,Passenger_160,160,Passenger,563,723,536.2352895,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
523,8/29/2021,Container_514,51,Container,506,448,980.2262357,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
50,6/1/2024,Tanker_556,556,Tanker,374,204,869.8833829,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
859,12/21/2022,Passenger_536,536,Passenger,957,913,714.9564454,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
868,7/25/2023,Tanker_737,737,Tanker,113,531,720.5295449,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
542,4/8/2024,Container_342,342,Container,506,452,283.7833964,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
306,7/30/2024,Cargo_245,245,Cargo,761,391,927.9691406,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
99,11/22/2023,Tanker_295,295,Tanker,961,218,539.5521608,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
619,1/15/2022,Cargo_537,537,Cargo,883,382,162.5206187,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
538,6/10/2022,Cargo_302,302,Cargo,803,799,950.302516,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
760,3/12/2024,Passenger_786,786,Passenger,371,560,506.5259155,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
603,2/9/2022,Container_497,497,Container,45,395,155.5121463,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
128,11/2/2024,Passenger_472,472,Passenger,598,108,735.2321663,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
121,6/30/2023,Tanker_331,331,Tanker,761,415,233.7901065,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
781,2/24/2021,Passenger_910,910,Passenger,627,215,187.6669391,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
159,11/24/2024,Cargo_474,474,Cargo,45,398,267.5914759,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
939,11/21/2021,Tanker_626,626,Tanker,883,149,578.2764481,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
106,10/2/2022,Container_130,130,Container,371,948,292.5894596,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
729,7/28/2021,Passenger_747,747,Passenger,395,174,40.81347376,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
976,10/10/2021,Passenger_545,545,Passenger,291,124,387.4970546,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
441,6/29/2021,Tanker_948,948,Tanker,745,655,234.3876024,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
56,5/17/2024,Passenger_634,634,Passenger,930,344,511.447342,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
877,7/16/2021,Cargo_919,919,Cargo,189,997,459.5616037,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
187,7/23/2022,Cargo_308,308,Cargo,169,404,78.08307491,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
527,7/21/2023,Cargo_927,927,Cargo,598,651,245.3140474,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
985,4/24/2022,Container_622,622,Container,812,834,281.4842784,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
745,10/29/2024,Container_731,731,Container,737,985,484.7366322,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
46,2/25/2021,Cargo_995,995,Cargo,599,810,822.2188327,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
821,7/25/2022,Cargo_326,326,Cargo,733,577,218.6026986,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
161,11/6/2021,Container_113,113,Container,627,815,158.1866718,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
750,1/2/2022,Cargo_954,954,Cargo,215,283,1.021577518,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
621,9/7/2023,Passenger_379,379,Passenger,563,871,606.5031892,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
288,4/6/2023,Container_702,702,Container,272,873,325.639856,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
424,9/4/2024,Cargo_505_2,505,Cargo,778,384,670.1553525,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
117,1/10/2024,Passenger_849,849,Passenger,350,67,690.1423944,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
987,9/17/2023,Tanker_630,630,Tanker,529,685,44.70352437,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
238,2/14/2024,Passenger_648,648,Passenger,197,102,418.4116972,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
308,7/9/2024,Tanker_519,519,Tanker,328,17,967.9826974,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
503,5/8/2021,Tanker_917,917,Tanker,761,948,275.1437971,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
673,12/25/2021,Passenger_959,95,Passenger,961,568,529.5504347,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
505,10/21/2023,Tanker_412,412,Tanker,737,650,537.8135706,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
505,5/10/2024,Passenger_82,82,Passenger,387,881,260.5512574,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
583,2/6/2023,Passenger_849,849,Passenger,627,929,779.2563689,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
858,12/23/2023,Tanker_891,891,Tanker,197,957,3.682863449,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
395,1/1/2024,Container_53_2,53,Container,803,133,226.7905068,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
832,12/18/2022,Cargo_652_2,652,Cargo,957,324,592.5272736,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
787,4/11/2024,Tanker_533,533,Tanker,425,769,917.2936667,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
961,5/8/2023,Container_330,330,Container,110,28,9.531153124,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
914,3/2/2021,Container_764_2,764,Container,197,235,600.8678617,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
798,12/27/2022,Container_42,42,Container,154,515,3.366713025,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
246,9/16/2024,Tanker_935,935,Tanker,895,343,622.8174587,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
775,9/26/2021,Passenger_358,358,Passenger,705,172,411.5954109,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
737,6/4/2024,Tanker_501_2,501,Tanker,425,899,434.4542985,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
289,12/9/2024,Passenger_837,837,Passenger,154,448,967.509624,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
678,3/17/2024,Passenger_887,887,Passenger,529,411,682.2463437,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
253,1/29/2022,Passenger_293,293,Passenger,291,658,196.4146327,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
523,2/22/2023,Passenger_239,239,Passenger,131,671,997.3372148,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
797,6/7/2024,Container_473,473,Container,895,493,256.6777319,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
188,2/8/2023,Passenger_956,956,Passenger,629,888,685.9068227,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
337,4/25/2022,Passenger_118_2,118,Passenger,895,296,680.2949954,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
796,6/24/2023,Cargo_106,106,Cargo,812,871,849.7250174,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
454,3/6/2021,Tanker_301_2,301,Tanker,197,869,398.8668752,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
961,2/21/2022,Container_764_2,764,Container,197,8,695.9645131,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
7,3/30/2022,Passenger_379,379,Passenger,930,755,625.9410739,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
722,11/10/2022,Cargo_31,31,Cargo,728,158,436.419951,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
815,7/18/2021,Passenger_892,892,Passenger,197,486,915.9574224,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
918,6/13/2024,Tanker_556,556,Tanker,598,919,251.9295934,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
156,7/26/2022,Cargo_25,25,Cargo,387,195,224.2735763,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
985,9/20/2022,Tanker_474,474,Tanker,961,562,630.3882552,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
392,2/21/2022,Tanker_917,917,Tanker,728,778,190.2666383,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
352,9/27/2023,Cargo_964,964,Cargo,371,480,829.9948068,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
355,12/12/2023,Passenger_447,447,Passenger,728,78,339.6752561,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
638,2/17/2021,Tanker_188,188,Tanker,563,65,421.0994752,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
659,4/6/2024,Container_128,128,Container,883,518,682.3158576,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
474,4/29/2024,Tanker_840_2,840,Tanker,598,25,885.101693,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
71,2/28/2023,Cargo_636,636,Cargo,189,15,689.9674808,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
987,5/20/2023,Container_383,383,Container,131,954,94.20522497,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
222,11/18/2023,Cargo_611,611,Cargo,215,533,338.0609875,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
93,1/22/2023,Cargo_817_2,817,Cargo,532,474,750.0629157,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
597,1/16/2021,Tanker_710_2,710,Tanker,761,100,907.7506424,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
412,2/8/2024,Cargo_302,302,Cargo,198,787,633.827118,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
616,10/31/2024,Cargo_717,717,Cargo,198,510,596.1550294,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
876,8/8/2022,Container_106,106,Container,563,220,379.2195578,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
97,7/5/2023,Tanker_418,418,Tanker,748,753,478.0516597,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
284,12/16/2022,Container_297,297,Container,748,237,432.2275467,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
517,1/26/2022,Cargo_868,86,Cargo,598,503,55.17647655,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
788,11/10/2021,Cargo_254,254,Cargo,629,560,21.8528869,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
601,12/18/2023,Container_614,614,Container,708,279,617.4038342,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
383,6/12/2022,Passenger_783,783,Passenger,374,876,509.8387838,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
610,3/14/2024,Passenger_690,690,Passenger,169,704,244.8908038,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
980,4/30/2021,Container_768,768,Container,198,288,892.7509631,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
480,11/28/2023,Cargo_769,769,Cargo,895,156,206.5949,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
884,3/25/2023,Tanker_189,189,Tanker,748,329,700.4988255,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
780,7/16/2023,Container_130,130,Container,169,465,788.362911,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
301,8/1/2024,Tanker_433,433,Tanker,371,551,840.2269753,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
249,6/7/2024,Cargo_505_2,50,Cargo,627,400,839.5299385,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
770,11/26/2023,Container_297,297,Container,425,40,794.1817555,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
207,5/17/2023,Tanker_143,143,Tanker,529,676,457.8001732,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
337,4/20/2024,Passenger_566,566,Passenger,113,379,623.91156,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
235,7/2/2022,Cargo_278,278,Cargo,728,335,857.711379,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
606,8/29/2024,Cargo_549,549,Cargo,737,556,420.2893832,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
294,7/27/2023,Cargo_527,527,Cargo,629,836,670.8549753,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
659,9/21/2023,Cargo_169,169,Cargo,272,4,159.536331,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
935,12/21/2024,Tanker_323,323,Tanker,425,961,564.6926116,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
830,1/7/2021,Tanker_556,556,Tanker,598,638,141.0459033,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
948,10/21/2024,Cargo_805,805,Cargo,460,547,660.2909931,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
24,3/8/2022,Container_477,477,Container,506,51,376.8309532,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
455,1/2/2024,Cargo_136,136,Cargo,599,711,227.8429343,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
220,11/16/2023,Container_759,759,Container,563,720,360.7432475,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
918,9/8/2021,Container_779,779,Container,154,560,701.4171226,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
712,3/12/2021,Cargo_432,432,Cargo,745,802,908.0334241,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
320,2/8/2023,Container_439,439,Container,490,839,11.2809487,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
564,5/27/2022,Container_282,282,Container,425,839,167.8479469,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
606,9/15/2024,Container_482,482,Container,110,327,705.7333403,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
496,11/21/2021,Container_926,92,Container,395,674,568.7348617,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
474,10/7/2023,Tanker_351,351,Tanker,748,57,319.1830475,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
55,1/18/2021,Passenger_208,208,Passenger,131,562,651.7632531,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
452,3/20/2022,Passenger_364,36,Passenger,563,146,867.1875626,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
348,8/4/2021,Tanker_626,626,Tanker,883,307,257.9786725,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
819,12/6/2024,Passenger_94_2,94,Passenger,708,677,485.6721773,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
865,5/2/2024,Container_614,614,Container,812,425,20.7673413,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
751,5/23/2024,Cargo_594,594,Cargo,198,864,945.9959795,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
30,6/27/2024,Tanker_137,137,Tanker,529,87,801.6437327,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
842,2/28/2024,Cargo_496,496,Cargo,272,972,505.0905368,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
396,12/22/2021,Cargo_441,441,Cargo,395,707,991.9979909,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
416,11/22/2021,Tanker_710_2,710,Tanker,708,430,220.2186295,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
946,8/20/2021,Cargo_354,354,Cargo,371,24,743.970549,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
868,4/28/2022,Tanker_825,825,Tanker,733,41,769.5065654,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
50,8/3/2022,Container_253,253,Container,113,413,830.8558122,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
360,12/6/2023,Tanker_171,171,Tanker,490,573,685.0963036,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
750,2/13/2024,Passenger_232_2,232,Passenger,563,506,190.5906025,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
539,7/19/2021,Container_598,598,Container,371,297,91.33411951,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
257,10/20/2022,Tanker_981,981,Tanker,374,650,180.3572079,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
525,10/21/2021,Container_598,598,Container,350,614,858.3185223,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
867,6/10/2022,Tanker_476,476,Tanker,745,343,401.9951033,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
223,9/15/2023,Passenger_22_2,22,Passenger,733,325,546.1660889,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
746,4/21/2021,Container_962,96,Container,761,443,25.37299507,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
735,1/6/2024,Passenger_629,629,Passenger,761,743,491.4285289,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
886,9/8/2023,Tanker_588,588,Tanker,957,587,409.2692683,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
298,10/28/2023,Passenger_293,293,Passenger,532,127,534.560244,"{'type': 'LineString', 'coordinates': [[7.509962, 52.294029], [8.48394, 53.539971]]}"
